Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,QLD,Males,Relationship in household,Non-family member,1200.0,3.2,400.0,9.7,1200.0,3.6,712.032,12.5,1086.736,3.5,,Non-family member
2014,Median weekly earnings,QLD,Males,Relationship in household,   Lone person,1210.318,8.4,400.0,11.0,1297.469,6.3,779.087,11.2,1160.796,6.2,Lone person,Non-family member
2014,Median weekly earnings,QLD,Males,Relationship in household,   Not living alone,1100.0,4.4,406.196,14.7,1100.0,5.0,651.427,19.5,1000.0,3.1,Not living alone,Non-family member
2014,Median weekly earnings,QLD,Males,Relationship in household,Relationship not determined,1002.232,0.1,0.0,0.0,1689.191,0.1,0.0,0.0,1002.232,0.1,,Relationship not determined
2014,Median weekly earnings,QLD,Females,Relationship in household,Family member,1033.641,2.0,500.0,3.6,958.0,1.8,400.0,4.1,792.0,1.7,,Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,"   Husband, wife or partner",1060.189,3.1,600.0,2.1,976.272,1.3,489.255,5.2,868.885,2.2,"Husband, wife or partner",Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,      With dependants,1100.0,5.4,600.0,4.3,956.634,2.7,449.234,7.5,801.508,4.5,With dependants,Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,      Without dependants,1050.651,2.4,550.0,4.3,1000.0,1.3,544.027,6.7,900.0,2.9,Without dependants,Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,   Lone parent,1057.014,4.6,562.601,8.1,954.615,5.6,499.581,12.4,802.582,5.6,Lone parent,Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,   Dependent student,689.397,32.7,131.474,6.1,520.007,38.8,138.447,6.4,142.61,7.5,Dependent student,Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,   Non-dependent child,918.891,5.6,423.294,5.3,760.0,9.3,500.0,8.5,661.104,5.5,Non-dependent child,Family member
2014,Median weekly earnings,QLD,Females,Relationship in household,   Other related individual,993.561,3.4,558.535,21.1,967.887,10.3,417.399,28.0,775.612,14.6,Other related individual,Family member
