anzsco_code,occupation,industry,industry_code
225213,ICT Sales Representatives,Retail Trade,G
225411,Sales Representatives (Industrial Products),Wholesale Trade,F
225411,Sales Representatives (Industrial Products),Manufacturing,C
225411,Sales Representatives (Industrial Products),Retail Trade,G
225412,Sales Representatives (Medical and Pharmaceutical Products),Wholesale Trade,F
225412,Sales Representatives (Medical and Pharmaceutical Products),Health Care and Social Assistance,Q
225412,Sales Representatives (Medical and Pharmaceutical Products),Manufacturing,C
225499,Other Technical Sales Representatives,Wholesale Trade,F
225499,Other Technical Sales Representatives,Education and Training,P
225499,Other Technical Sales Representatives,Retail Trade,G
231111,Aeroplane Pilots,"Transport, Postal and Warehousing",I
231111,Aeroplane Pilots,Public Administration and Safety,O
231112,Air Traffic Controllers,"Transport, Postal and Warehousing",I
231112,Air Traffic Controllers,Public Administration and Safety,O
231113,Flying Instructors,Education and Training,P
231113,Flying Instructors,"Transport, Postal and Warehousing",I
231113,Flying Instructors,Public Administration and Safety,O
